"MEU DEUS 
O PREFEITO JOO DORIA VAI VIR https://t.co/ZZVeD0PlDl",
Doria encerra contrato com empresa acusada de corrupo https://t.co/MdCyOIZkhL,
"RT @Leandro__Karnal: Estude a histria poltica e saber, ou se contente com a declarao do Dria, que foi fidedigna sobre o seu partido.",
@paulacamara_ esse   outro esquerdista ..o SBT aos poucos est trocando seu jornalismo  por essas m.. mas o Dria https://t.co/NUKl2OV0lh,
"RT @Anaviazan: Doria para Kennedy Alencar: ""o sr. gostaria que pichassem a porta da sua casa? transgresso no tem idade"" https://t",
RT @EsquerdaValente: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria https://t.co/yh4b66dFvQ https://t.co/8q7,
"RT @BlogdoMiro: Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"@pecesiqueira oi pc eu tenho uma redao pra entregar amanh e o seu vdeo falando sobre o Dria e as pichaes me salvaram, obrigada.",
"RT @anterogreco: Dria admite entrar na corrida pela presidncia em 2018. Dois meses de prefeitura de SP, vestiu-se de gari e virou ""refer",
"RT @epocanegocios: Nada  irreversvel, diz Joo Doria sobre Presidncia em 2018, enquanto chama governo Lula de ""desastre"" https://t.co/",
@NPTO passou na minha TL pessoas festejando q nem Bolsonaro nem Dria esto nela,
"RT @FakeArtur: Hoje mais cedo rolou um tweet sobre a poltica do governo Dria de parcerias, e eu gostaria de explicar rapidamente minha pr",
O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria https://t.co/QfcWCVpQ9b,
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
Gostei de um vdeo @YouTube de @conta1985 https://t.co/quYWqwFFNn LIVE - Joo Doria em visita surpresa a Prefeitura Regional Capela,
O outro lado da moeda... https://t.co/nfwCqUgMJR,
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @Doria_2018:  mole? Agora os esquerdistas esto reclamando que Joo Doria trabalha demais | https://t.co/e2tUmZZ3rJ https://t.co/MOM71A,
"RT @Estadao: Na SPFW, Doria (@jdoriajr) se explica: 's no cortamos na sade e na educao' https://t.co/geRJCtp6MF https://t.co/L5w926kbC1",
RT @GringaBrazilien: Pesquisa presidencial 2018 Datamax no Piau: Lula disparando com + de 60% (quero ver Doria ou Alckmin a..) https://t.,
Oportunidade! ;) https://t.co/hIjdO52Qp2,
RT @Garcia_Itaipu: O Rio nunca sair dessa ciranda de merda. Que inveja dos paulistanos com o Dria. https://t.co/MTrITyhcFj,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
RT @monicabergamo: Gesto Doria na CET nao divulga dados de acidentes de 2016. https://t.co/mg7PZANZm3,
RT @tarlouze: CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e https://t.co/M6dsdKx7tx https://t,
"RT @BlogdoMiro: Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
RT @blogdojefferson: O prefeito Joo Dria remanejou R$ 438 milhes e quitou os salrios dos professores de SP. Dria colocou gua no todin,
"RT @BlogdoMiro: Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
RT @tarlouze: CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e https://t.co/M6dsdKx7tx https://t,
"RT @silviomay: Geraldo saiu do muro e confirma candidatura para 2018...mais empenho de Dria com seu ""padrinho"", aguardemos",
RT @tarlouze: CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e https://t.co/M6dsdKx7tx https://t,
"@PatoCorporation @surra Falando srio, com todos os defeitos, acho o Dria bem melhor que o Collor.",
"RT @ocafezinho: O Cafezinho apresenta a ""Lista atualizada de fracassos do governo Joo Doria"" - O Cafezinho https://t.co/1EQi51KbmE",
"RT @flaviomorgen: ""Populismo""  um termo para voc xingar o Trump e o Doria por algo pelo qual voc iria liberar as pregas se Obama e Hadda",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
"RT @Anaviazan: Doria para Kennedy Alencar: ""o sr. gostaria que pichassem a porta da sua casa? transgresso no tem idade"" https://t",
RT @MBLivre: Doria fez jornalista passar vergonha. https://t.co/DGuyL2M2nY,
RT @tarlouze: CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e https://t.co/M6dsdKx7tx https://t,
"Fora da democracia no h salvao... o tucano, almofadinha, Dria (PSDB), com medo de enfrentar uma greve geral, ameaa punir todo mundo!",
Efeito Doria  https://t.co/555tAsjWLF,
RT @tarlouze: CUT-SP condena tentativa de Alckmin e Doria de barrar o direito  greve dos metrovirios e https://t.co/M6dsdKx7tx https://t,
"RT @Dida_CRF: Li e reli a lista do janot e nada de aparecer doria e bolsonaro. 

2 turno promete ano q vem",
"RT @BlogdoMiro: Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
"RT @BlogdoMiro: Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
"RT @BlogdoMiro: Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
"RT @zerohora: Polticos, economistas, filsofos e representantes de entidades internacionais participam do Frum da Liberdade https://t.co/",
"#PTnuncaMais
MAIS QUE PERFEITO, PREFEITO! 
Joo Doria coloca Kennedy Alencar na lona:o prefeito no cansa de mitar https://t.co/QkDb4zs6bU",
RT @DCM_online: O desespero de Alckmin para conter o inevitvel: a traio de Doria rumo ao Planalto. Por Kiko Nogueira https://t.co/lyMzrc,
RT @marcioadriano79: @paulacamara_ Joo Doria para Presidente em 2018,
"RT @BlogdoMiro: Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
RT @Estadao: Doria no descarta candidatura  Presidncia em 2018 https://t.co/KD9NAo42g3 https://t.co/ecyWKwtkb4,
RT @blogdojefferson: O prefeito Joo Dria remanejou R$ 438 milhes e quitou os salrios dos professores de SP. Dria colocou gua no todin,
RT @marcelolimabh: @paulacamara_  muito bom! Esse vitimismo  nojento!  Muito boa a forma do Dria de enfrentar esses militantes.,
"RT @saopaulo011com: Doria  o prefeito mais curtido, comentado e compartilhado no Facebbok https://t.co/3Zga7JkOLk",
"Morte na Marginal Tiet. Cad o Doria, fantasiado de coveiro? Por Altamiro Borges -- https://t.co/keNig4KpnA",
RT @paulacamara_: Dria detona Kennedy Alencar e o PT   https://t.co/CP0fVHLJmA,
RT @Garcia_Itaipu: O Rio nunca sair dessa ciranda de merda. Que inveja dos paulistanos com o Dria. https://t.co/MTrITyhcFj,
"@dorisvan_doria as agencias reguladoras que deviam zelar pelo consumidor ,zelam pelosa interesses das grandes corporaes",
Doria est na lista do Janot? timo. Vamos em frente. #Doria2018,
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
RT @Rconstantino: Joo Doria coloca Kennedy Alencar na lona: o prefeito no cansa de mitar https://t.co/pHghIlq2JJ,
RT @Estadao: Doria no descarta candidatura  Presidncia em 2018 https://t.co/KD9NAo42g3 https://t.co/ecyWKwtkb4,
RT @tarlouze: O Cafezinho apresenta a Lista atualizada de fracassos do governo Joo Doria  OCafezinho https://t.co/3x64kQRsjM https://t,
RT @Estadao: Doria no descarta candidatura  Presidncia em 2018 https://t.co/KD9NAo42g3 https://t.co/ecyWKwtkb4,
"No consigo encontrar um professor de direita na escola onde trabalho. 
PQP!
Que merda, gente.
 pau no Doria e no Bolsonaro diariamente.",
"RT @DanielGuth: Kennedy Alencar: No o comove o argumento de q a velocidade agrava o ferimento e aumenta risco de morte?

Doria: No.",
Prefeito Joo Doria Jr. fala sobre a falta de medicamentos nos postos de sade do SUS: https://t.co/Wt4D3S4dZ6 via @YouTube,
RT @blogdojefferson: O prefeito Joo Dria remanejou R$ 438 milhes e quitou os salrios dos professores de SP. Dria colocou gua no todin,
RT @blogdojefferson: O prefeito Joo Dria remanejou R$ 438 milhes e quitou os salrios dos professores de SP. Dria colocou gua no todin,
